revenue_id,customer_id,opportunity_id,channel_id,campaign_id,revenue_date,revenue_month,new_arr,recognized_revenue,gross_margin
rev_cust_00001,cust_00001,opp_00001,ch_paid_search,paid_search_core,2026-02-05,2026-02,35700.0,2975.0,0.76
rev_cust_00002,cust_00002,opp_00002,ch_paid_search,paid_search_core,2026-03-10,2026-03,38220.0,3185.0,0.76
rev_cust_00003,cust_00003,opp_00003,ch_paid_search,paid_search_core,2026-04-09,2026-04,40740.0,3395.0,0.76
rev_cust_00004,cust_00004,opp_00004,ch_paid_search,paid_search_core,2026-05-12,2026-05,43260.0,3605.0,0.76
rev_cust_00005,cust_00005,opp_00005,ch_paid_search,paid_search_core,2026-06-13,2026-06,45780.0,3815.0,0.76
rev_cust_00006,cust_00006,opp_00006,ch_paid_search,paid_search_core,2026-07-16,2026-07,48300.0,4025.0,0.76
rev_cust_00007,cust_00007,opp_00007,ch_paid_search,paid_search_core,2026-02-17,2026-02,35700.0,2975.0,0.76
rev_cust_00008,cust_00008,opp_00008,ch_paid_search,paid_search_core,2026-03-22,2026-03,38220.0,3185.0,0.76
rev_cust_00009,cust_00009,opp_00009,ch_paid_search,paid_search_core,2026-04-21,2026-04,40740.0,3395.0,0.76
rev_cust_00010,cust_00010,opp_00010,ch_paid_search,paid_search_core,2026-05-24,2026-05,43260.0,3605.0,0.76
rev_cust_00011,cust_00011,opp_00011,ch_paid_search,paid_search_core,2026-06-25,2026-06,45780.0,3815.0,0.76
rev_cust_00012,cust_00012,opp_00012,ch_paid_search,paid_search_core,2026-07-28,2026-07,48300.0,4025.0,0.76
rev_cust_00013,cust_00013,opp_00062,ch_paid_search,paid_search_broad,2026-02-05,2026-02,35700.0,2975.0,0.76
rev_cust_00014,cust_00014,opp_00072,ch_organic,organic_seo_bottom,2026-02-05,2026-02,33150.0,2762.5,0.78
rev_cust_00015,cust_00015,opp_00073,ch_organic,organic_seo_bottom,2026-03-10,2026-03,35490.0,2957.5,0.78
rev_cust_00016,cust_00016,opp_00074,ch_organic,organic_seo_bottom,2026-04-09,2026-04,37830.0,3152.5,0.78
rev_cust_00017,cust_00017,opp_00075,ch_organic,organic_seo_bottom,2026-05-12,2026-05,40170.0,3347.5,0.78
rev_cust_00018,cust_00018,opp_00076,ch_organic,organic_seo_bottom,2026-06-13,2026-06,42510.0,3542.5,0.78
rev_cust_00019,cust_00019,opp_00077,ch_organic,organic_seo_bottom,2026-07-16,2026-07,44850.0,3737.5,0.78
rev_cust_00020,cust_00020,opp_00078,ch_organic,organic_seo_bottom,2026-02-17,2026-02,33150.0,2762.5,0.78
rev_cust_00021,cust_00021,opp_00079,ch_organic,organic_seo_bottom,2026-03-22,2026-03,35490.0,2957.5,0.78
rev_cust_00022,cust_00022,opp_00080,ch_organic,organic_seo_bottom,2026-04-21,2026-04,37830.0,3152.5,0.78
rev_cust_00023,cust_00023,opp_00081,ch_organic,organic_seo_bottom,2026-05-24,2026-05,40170.0,3347.5,0.78
rev_cust_00024,cust_00024,opp_00082,ch_organic,organic_seo_bottom,2026-06-25,2026-06,42510.0,3542.5,0.78
rev_cust_00025,cust_00025,opp_00083,ch_organic,organic_seo_bottom,2026-07-28,2026-07,44850.0,3737.5,0.78
rev_cust_00026,cust_00026,opp_00084,ch_organic,organic_seo_bottom,2026-03-01,2026-03,33150.0,2762.5,0.78
rev_cust_00027,cust_00027,opp_00085,ch_organic,organic_seo_bottom,2026-04-03,2026-04,35490.0,2957.5,0.78
rev_cust_00028,cust_00028,opp_00086,ch_organic,organic_seo_bottom,2026-05-03,2026-05,37830.0,3152.5,0.78
rev_cust_00029,cust_00029,opp_00087,ch_organic,organic_seo_bottom,2026-06-05,2026-06,40170.0,3347.5,0.78
rev_cust_00030,cust_00030,opp_00088,ch_organic,organic_seo_bottom,2026-07-07,2026-07,42510.0,3542.5,0.78
rev_cust_00031,cust_00031,opp_00089,ch_organic,organic_seo_bottom,2026-08-09,2026-08,44850.0,3737.5,0.78
rev_cust_00032,cust_00032,opp_00090,ch_organic,organic_seo_bottom,2026-03-13,2026-03,33150.0,2762.5,0.78
rev_cust_00033,cust_00033,opp_00091,ch_organic,organic_seo_bottom,2026-04-15,2026-04,35490.0,2957.5,0.78
rev_cust_00034,cust_00034,opp_00092,ch_organic,organic_seo_bottom,2026-05-15,2026-05,37830.0,3152.5,0.78
rev_cust_00035,cust_00035,opp_00137,ch_organic,organic_content_hub,2026-02-05,2026-02,33150.0,2762.5,0.78
rev_cust_00036,cust_00036,opp_00138,ch_organic,organic_content_hub,2026-03-10,2026-03,35490.0,2957.5,0.78
rev_cust_00037,cust_00037,opp_00139,ch_organic,organic_content_hub,2026-04-09,2026-04,37830.0,3152.5,0.78
rev_cust_00038,cust_00038,opp_00140,ch_organic,organic_content_hub,2026-05-12,2026-05,40170.0,3347.5,0.78
rev_cust_00039,cust_00039,opp_00141,ch_organic,organic_content_hub,2026-06-13,2026-06,42510.0,3542.5,0.78
rev_cust_00040,cust_00040,opp_00159,ch_referral,referral_customer,2026-02-05,2026-02,40800.0,3400.0,0.8
rev_cust_00041,cust_00041,opp_00160,ch_referral,referral_customer,2026-03-10,2026-03,43680.0,3640.0,0.8
rev_cust_00042,cust_00042,opp_00161,ch_referral,referral_customer,2026-04-09,2026-04,46560.0,3880.0,0.8
rev_cust_00043,cust_00043,opp_00162,ch_referral,referral_customer,2026-05-12,2026-05,49440.0,4120.0,0.8
rev_cust_00044,cust_00044,opp_00163,ch_referral,referral_customer,2026-06-13,2026-06,52320.0,4360.0,0.8
rev_cust_00045,cust_00045,opp_00164,ch_referral,referral_customer,2026-07-16,2026-07,55200.0,4600.0,0.8
rev_cust_00046,cust_00046,opp_00165,ch_referral,referral_customer,2026-02-17,2026-02,40800.0,3400.0,0.8
rev_cust_00047,cust_00047,opp_00166,ch_referral,referral_customer,2026-03-22,2026-03,43680.0,3640.0,0.8
rev_cust_00048,cust_00048,opp_00167,ch_referral,referral_customer,2026-04-21,2026-04,46560.0,3880.0,0.8
rev_cust_00049,cust_00049,opp_00168,ch_referral,referral_customer,2026-05-24,2026-05,49440.0,4120.0,0.8
rev_cust_00050,cust_00050,opp_00169,ch_referral,referral_customer,2026-06-25,2026-06,52320.0,4360.0,0.8
rev_cust_00051,cust_00051,opp_00170,ch_referral,referral_customer,2026-07-28,2026-07,55200.0,4600.0,0.8
rev_cust_00052,cust_00052,opp_00171,ch_referral,referral_customer,2026-03-01,2026-03,40800.0,3400.0,0.8
rev_cust_00053,cust_00053,opp_00172,ch_referral,referral_customer,2026-04-03,2026-04,43680.0,3640.0,0.8
rev_cust_00054,cust_00054,opp_00173,ch_referral,referral_customer,2026-05-03,2026-05,46560.0,3880.0,0.8
rev_cust_00055,cust_00055,opp_00174,ch_referral,referral_customer,2026-06-05,2026-06,49440.0,4120.0,0.8
rev_cust_00056,cust_00056,opp_00175,ch_referral,referral_customer,2026-07-07,2026-07,52320.0,4360.0,0.8
